product_id;neighbor_products_id
39426;[38012, 38740, 119482, 82376, 18283, 18309, 18359, 19687, 105432, 40998]
58615;[119482, 79808, 127211, 88215, 88422, 53366, 105432, 39099, 51631, 73358]
51021;[53366, 38855, 61090, 40383, 72008, 53365, 119482, 75836, 40446, 18381]
77895;[41388, 37982, 61090, 53366, 19687, 73358, 39150, 40998, 18309, 119482]
38149;[18381, 18379, 18364, 50998, 29439, 51061, 40446, 18323, 84121, 53365]
18598;[53366, 38740, 39411, 88421, 76483, 37982, 85444, 40268, 63753, 41388]
77453;[41800, 29439, 18359, 51061, 69482, 107697, 41688, 72008, 91468, 116664]
84671;[68604, 18381, 70837, 51023, 84668, 44053, 41701, 40446, 18364, 69482]
75699;[69482, 72008, 61090, 18301, 18359, 53366, 29439, 71735, 116664, 53365]
18136;[51061, 53365, 18364, 18188, 18381, 41701, 39411, 41800, 61090, 18379]
38018;[37998, 133494, 38178, 84106, 38740, 18333, 58839, 29439, 38636, 52691]
51572;[37982, 85056, 122732, 40165, 82376, 18364, 39426, 38740, 39411, 61090]
71734;[18364, 29439, 51061, 18379, 18381, 71722, 84121, 40446, 18353, 70837]
37944;[18364, 29439, 71722, 15885, 92948, 79706, 88167, 37982, 19721, 18305]
50956;[41685, 40165, 104665, 18364, 72008, 29439, 116664, 39150, 89669, 115405]
29449;[63753, 119482, 29439, 109707, 18330, 51061, 18283, 107563, 37982, 18359]
37946;[41685, 38178, 18359, 53366, 63753, 18364, 20009, 61090, 18309, 70828]
37934;[18364, 51061, 18381, 84121, 29439, 63030, 53365, 85465, 61090, 41800]
126120;[72008, 73583, 73582, 85491, 85444, 41701, 61090, 18364, 18954, 79432]
38652;[39411, 82376, 40165, 119482, 53366, 108788, 40998, 79808, 40268, 91431]
18374;[18359, 38636, 51061, 79913, 39426, 17317, 18364, 18333, 18468, 116664]
62529;[116664, 18364, 18323, 51061, 110901, 18359, 62085, 21817, 40383, 41701]
42519;[53366, 39411, 78091, 40998, 37982, 73358, 61090, 119482, 40837, 37985]
126074;[18364, 116664, 29439, 29449, 18323, 121055, 61090, 19721, 109707, 40626]
55159;[71728, 33757, 73358, 42519, 40998, 61090, 53366, 38740, 40304, 18283]
18188;[72008, 53365, 18364, 61088, 41701, 124076, 107697, 119482, 61090, 84669]
51575;[39100, 61090, 40998, 33757, 19687, 85282, 39099, 119482, 40189, 105432]
69496;[85363, 37985, 63753, 33757, 115752, 53366, 119482, 58951, 94581, 40189]
51631;[73358, 79808, 88215, 76483, 53366, 119482, 39099, 88422, 32151, 110467]
29516;[40446, 75110, 18381, 61090, 72008, 20060, 53366, 75836, 18364, 19688]
18527;[51631, 75699, 89666, 42519, 85387, 80031, 18598, 20071, 87459, 83836]
18528;[116942, 18364, 18353, 81992, 111026, 105381, 18305, 18323, 114069, 85853]
18570;[69482, 18446, 18330, 18364, 94176, 51061, 63753, 58642, 61090, 88267]
38176;[41388, 85163, 37946, 37985, 40189, 38740, 51609, 37982, 72008, 41685]
51058;[18582, 18353, 51061, 29439, 82086, 66625, 18305, 18359, 105989, 18364]
