;product_id;name;price;link;category
60;112487;Lime øko;4,00/Stk.;/produkt/salling-oeko-lime-oeko/112487/;frugt-og-groent/
61;18219;Runde tomater øko;40,00/Kg.;/produkt/levevis-runde-tomater-oeko/18219/;frugt-og-groent/
62;18452;Crispsalat;18,00/Stk.;/produkt/salling-danske-salater-crispsalat/18452/;frugt-og-groent/
63;26413;Blommer;2,75/Stk.;/produkt/blommer/26413/;frugt-og-groent/
64;18353;Peberfrugter gule;7,25/Stk.;/produkt/peberfrugter-gule/18353/;frugt-og-groent/
65;84668;Ananas;25,00/Stk.;/produkt/princip-ananas/84668/;frugt-og-groent/
66;18154;Løg;11,00/Kg.;/produkt/salling-loeg/18154/;frugt-og-groent/
67;117726;Cherry blommetomater mix;66,67/Kg.;/produkt/cherry-blommetomater-mix/117726/;frugt-og-groent/
68;64851;Æbler øko, kl. II;17,70/Kg.;/produkt/salling-oeko-aebler-oeko-kl-ii/64851/;frugt-og-groent/
69;18582;Peberfrugt orange;7,25/Stk.;/produkt/peberfrugt-orange/18582/;frugt-og-groent/
70;126465;Æbler;10,00/Kg.;/produkt/aebler/126465/;frugt-og-groent/
71;61088;Kiwi øko;30,00/Kg.;/produkt/salling-oeko-kiwi-oeko/61088/;frugt-og-groent/
72;37985;Blomkål øko;20,00/Stk.;/produkt/salling-oeko-blomkaal-oeko/37985/;frugt-og-groent/
73;39426;Ingefær øko;75,00/Kg.;/produkt/salling-oeko-ingefaer-oeko/39426/;frugt-og-groent/
74;58615;Skiveskåret champignon øko;70,00/Kg.;/produkt/salling-oeko-skiveskaaret-champignon-oeko/58615/;frugt-og-groent/
75;51021;Pærer;6,25/Stk.;/produkt/paerer/51021/;frugt-og-groent/
76;77895;Skyllet spinat øko;110,00/Kg.;/produkt/salling-oeko-skyllet-spinat-oeko/77895/;frugt-og-groent/
77;38149;Appelsiner;5,00/Stk.;/produkt/appelsiner/38149/;frugt-og-groent/
78;18598;Søde kartofler øko;40,00/Kg.;/produkt/salling-oeko-soede-kartofler-oeko/18598/;frugt-og-groent/
79;77453;Rød spidskål;18,00/Stk.;/produkt/roed-spidskaal/77453/;frugt-og-groent/
80;84671;Vandmelon;38,00/Stk.;/produkt/salling-meloner-vandmelon/84671/;frugt-og-groent/
81;75699;Mango;15,00/Stk.;/produkt/mango/75699/;frugt-og-groent/
82;18136;Appelsiner;15,00/Kg.;/produkt/princip-appelsiner/18136/;frugt-og-groent/
83;38018;Dild;9,00/Stk.;/produkt/dild/38018/;frugt-og-groent/
84;51572;Babyspinat øko;133,33/Kg.;/produkt/babyspinat-oeko/51572/;frugt-og-groent/
85;71734;Snackgulerødder;28,00/Kg.;/produkt/salling-snackguleroedder/71734/;frugt-og-groent/
86;37944;Snittet og skyllet basissalat;55,00/Kg.;/produkt/salling-nu-snittet-og-skyllet-basissalat/37944/;frugt-og-groent/
87;50956;Rucola øko;133,33/Kg.;/produkt/rucola-oeko/50956/;frugt-og-groent/
88;29449;Aubergine;7,00/Stk.;/produkt/aubergine/29449/;frugt-og-groent/
89;37946;Basilikum øko;15,00/Stk.;/produkt/salling-oeko-basilikum-oeko/37946/;frugt-og-groent/
90;37934;Avocado;8,00/Stk.;/produkt/avocado/37934/;frugt-og-groent/
91;126120;Revet gulerødder øko;36,92/Kg.;/produkt/salling-nu-revet-guleroedder-oeko/126120/;frugt-og-groent/
92;38652;Gulerødder øko;12,50/Kg.;/produkt/salling-oeko-guleroedder-oeko/38652/;frugt-og-groent/
93;18374;Limefrugter;3,50/Stk.;/produkt/limefrugter/18374/;frugt-og-groent/
94;62529;Sugarsnaps;132,00/Kg.;/produkt/sugarsnaps/62529/;frugt-og-groent/
95;42519;Blåbær øko;176,00/Kg.;/produkt/salling-oeko-blaabaer-oeko/42519/;frugt-og-groent/
